epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.896,1.01186,4.17555,1.24375,0.05636,0.88673,0.18627,0.14462,0.80181,3.2778,1.10893,0.000131783,0.000131783,0.000131783
2,284.384,0.97355,3.00721,1.18045,0.51817,0.5702,0.51409,0.38759,0.8839,1.94644,1.16956,0.000259867,0.000259867,0.000259867
3,347.847,0.92168,2.18057,1.13272,0.67099,0.63133,0.67699,0.51293,0.87392,1.52527,1.19101,0.000382671,0.000382671,0.000382671
4,463.291,0.89265,1.74149,1.10394,0.74985,0.74939,0.80771,0.63172,0.8411,1.15189,1.12235,0.00037624,0.00037624,0.00037624
5,545.849,0.83953,1.52369,1.06635,0.84059,0.81176,0.8776,0.6913,0.77858,0.89406,1.0585,0.00036832,0.00036832,0.00036832
6,610.711,0.82642,1.33052,1.05732,0.80401,0.80214,0.85871,0.69071,0.77091,0.98074,1.05826,0.0003604,0.0003604,0.0003604
7,718.045,0.82949,1.22398,1.05681,0.8157,0.87867,0.90896,0.72264,0.77399,0.79659,1.05362,0.00035248,0.00035248,0.00035248
8,804.035,0.79689,1.16554,1.04642,0.88841,0.83286,0.88966,0.72244,0.74034,0.76609,1.03635,0.00034456,0.00034456,0.00034456
9,912.269,0.77869,1.06588,1.0362,0.89714,0.86966,0.92467,0.76452,0.71271,0.68619,1.02833,0.00033664,0.00033664,0.00033664
10,1010.23,0.77059,0.99802,1.03997,0.92174,0.87795,0.92045,0.75126,0.71927,0.68459,1.02277,0.00032872,0.00032872,0.00032872
11,1155.1,0.74245,0.94875,1.01443,0.89918,0.88933,0.93256,0.76652,0.71606,0.6385,1.00323,0.0003208,0.0003208,0.0003208
12,1290.94,0.74468,0.91113,1.01964,0.89675,0.86133,0.92512,0.75019,0.70748,0.71773,1.00803,0.00031288,0.00031288,0.00031288
13,1400.44,0.75373,0.86954,1.02132,0.90937,0.91154,0.93383,0.77006,0.7126,0.62124,1.00679,0.00030496,0.00030496,0.00030496
14,1557.78,0.73988,0.84399,1.0085,0.89936,0.88878,0.93201,0.76801,0.7005,0.60596,1.00852,0.00029704,0.00029704,0.00029704
15,1694.79,0.71951,0.80794,1.00626,0.91682,0.89263,0.92547,0.76647,0.70472,0.63669,1.00014,0.00028912,0.00028912,0.00028912
16,1850.48,0.71537,0.78486,1.00207,0.89909,0.91109,0.9465,0.78069,0.6851,0.57035,0.98917,0.0002812,0.0002812,0.0002812
17,1985.03,0.70088,0.71589,0.99298,0.90997,0.88955,0.93258,0.76865,0.69697,0.59316,1.00534,0.00027328,0.00027328,0.00027328
18,2122.14,0.69815,0.72758,1.00079,0.92417,0.93539,0.95036,0.7758,0.69432,0.5381,1.00101,0.00026536,0.00026536,0.00026536
19,2178.07,0.68337,0.70195,0.98953,0.93647,0.90763,0.95124,0.78771,0.6924,0.52838,0.99348,0.00025744,0.00025744,0.00025744
20,2278.86,0.68478,0.6747,0.99876,0.93648,0.89498,0.94029,0.77866,0.69478,0.55029,1.00104,0.00024952,0.00024952,0.00024952
21,2374.38,0.6735,0.6769,0.98788,0.93273,0.91264,0.93114,0.77753,0.67472,0.53703,0.9882,0.0002416,0.0002416,0.0002416
22,2475.53,0.65911,0.64808,0.97943,0.91932,0.93662,0.94865,0.79702,0.66989,0.5093,0.9854,0.00023368,0.00023368,0.00023368
23,2611.29,0.66319,0.62959,0.97529,0.95722,0.89981,0.95469,0.79324,0.6719,0.48199,0.98555,0.00022576,0.00022576,0.00022576
24,2675.7,0.62833,0.61404,0.96865,0.94275,0.88941,0.93671,0.78835,0.65452,0.51593,0.97936,0.00021784,0.00021784,0.00021784
25,2800.64,0.63132,0.60354,0.96379,0.93443,0.92171,0.94764,0.79844,0.65964,0.48312,0.97273,0.00020992,0.00020992,0.00020992
26,2883.66,0.64314,0.57487,0.97024,0.93926,0.90622,0.94888,0.79032,0.68023,0.47454,0.98509,0.000202,0.000202,0.000202
27,2965.53,0.63456,0.56243,0.96912,0.93698,0.90707,0.95288,0.79996,0.67212,0.48298,0.98885,0.00019408,0.00019408,0.00019408
28,3087.67,0.62776,0.55828,0.96624,0.94107,0.90189,0.94096,0.79206,0.66839,0.48136,0.98236,0.00018616,0.00018616,0.00018616
29,3175.73,0.61813,0.56194,0.96669,0.94558,0.9263,0.9633,0.81092,0.64794,0.45126,0.9705,0.00017824,0.00017824,0.00017824
30,3256.04,0.61426,0.54063,0.96023,0.93449,0.92581,0.95478,0.7984,0.6678,0.45566,0.98021,0.00017032,0.00017032,0.00017032
31,3333.27,0.6203,0.53942,0.95565,0.9235,0.92266,0.94628,0.79068,0.66648,0.48088,0.9728,0.0001624,0.0001624,0.0001624
32,3418.57,0.61308,0.52662,0.95133,0.93562,0.94132,0.95654,0.79971,0.66824,0.44104,0.98286,0.00015448,0.00015448,0.00015448
33,3502.3,0.58916,0.50892,0.95166,0.92981,0.93669,0.95832,0.80713,0.65858,0.44464,0.97107,0.00014656,0.00014656,0.00014656
34,3591.32,0.59011,0.51051,0.95625,0.94552,0.92124,0.96012,0.8099,0.65933,0.42566,0.97531,0.00013864,0.00013864,0.00013864
35,3669.01,0.59722,0.50814,0.95443,0.93234,0.91977,0.9507,0.80087,0.66468,0.44236,0.98135,0.00013072,0.00013072,0.00013072
36,3732.98,0.56502,0.48497,0.93562,0.94857,0.92206,0.9574,0.80566,0.66097,0.43275,0.98518,0.0001228,0.0001228,0.0001228
37,3824.54,0.56414,0.4785,0.94282,0.93705,0.93084,0.95346,0.80351,0.64735,0.45793,0.97027,0.00011488,0.00011488,0.00011488
38,3889.94,0.54655,0.46186,0.93697,0.93575,0.92902,0.96146,0.81221,0.63885,0.41966,0.96235,0.00010696,0.00010696,0.00010696
39,3953.6,0.55593,0.47358,0.94312,0.95517,0.9151,0.95446,0.80219,0.66365,0.44196,0.97561,9.904e-05,9.904e-05,9.904e-05
40,4075.04,0.5457,0.45143,0.93385,0.93439,0.93466,0.95784,0.81034,0.65403,0.41529,0.97474,9.112e-05,9.112e-05,9.112e-05
41,4255.18,0.48754,0.36491,0.89313,0.94025,0.92261,0.94779,0.79795,0.65774,0.45627,0.97093,8.32e-05,8.32e-05,8.32e-05
42,4323.26,0.47048,0.34636,0.87473,0.9562,0.92328,0.96266,0.81314,0.64359,0.40932,0.96708,7.528e-05,7.528e-05,7.528e-05
43,4414.83,0.45621,0.32877,0.87879,0.93719,0.92761,0.95751,0.80658,0.65489,0.42956,0.97185,6.736e-05,6.736e-05,6.736e-05
44,4474.69,0.44249,0.31422,0.86049,0.93835,0.92592,0.95731,0.80802,0.6438,0.42682,0.967,5.944e-05,5.944e-05,5.944e-05
45,4541.73,0.43171,0.3114,0.86507,0.93846,0.92704,0.95894,0.81136,0.65412,0.42597,0.97622,5.152e-05,5.152e-05,5.152e-05
46,4605.59,0.42293,0.31217,0.85448,0.94309,0.93221,0.96259,0.81197,0.64553,0.41073,0.97121,4.36e-05,4.36e-05,4.36e-05
47,4671.8,0.41665,0.29814,0.84679,0.95443,0.93778,0.9607,0.8115,0.63964,0.4102,0.96799,3.568e-05,3.568e-05,3.568e-05
48,4736.37,0.40916,0.29296,0.85211,0.95012,0.9379,0.96318,0.81527,0.64445,0.40296,0.97019,2.776e-05,2.776e-05,2.776e-05
49,4799.71,0.4039,0.28602,0.85324,0.95049,0.93366,0.96684,0.81928,0.63724,0.38774,0.96592,1.984e-05,1.984e-05,1.984e-05
50,4858.8,0.39088,0.28246,0.84482,0.95678,0.92668,0.96576,0.81825,0.63934,0.39176,0.96545,1.192e-05,1.192e-05,1.192e-05
